Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.101222450007234,0.0611878805385779,0.134712291964518,0,0,0,5.04599768700975,0.0199585188421209,3.57924483955389E-07,-8.4963369555269E-07,0.0204011323429147,8.69413175240227E-06,0.0133780567917248,0,0,0,0,0,0,package://4wheel_castle2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.066687521085382,-0.025617402995435,0.0272583251967583,0,0,0,0.26437001106024,3.20746276473134E-05,-1.44118283521522E-07,-6.30853084343113E-08,6.22704126338856E-05,-2.01894652764195E-07,6.28519936954001E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFS.STL,,Suspensionsystem-2,Origin_LFS,Axis_LFS,LFS,prismatic,-0.30216,-0.05081,0.029427,2.834,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.0123157245740742,-2.77555756156289E-17,5.89805981832114E-17,0,0,0,0.193585420779862,0.000253081141332254,2.03971412723716E-19,-4.88084416609431E-19,0.000136818598566517,8.470329472543E-22,0.000136818598566517,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.047479,0.052309,1.2177,0,-3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276378504,-0.031683252131476,0.0253402400459296,0,0,0,0.26437001106024,3.20746276473134E-05,1.44118283521257E-07,6.30853084344772E-08,6.22704126338856E-05,-2.01894652764195E-07,6.28519936954001E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,0.10792,-0.012126,0.029427,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.0123157245740813,-1.79162240598885E-14,1.12305997834738E-14,0,0,0,0.193585420779862,0.000253081141332253,-1.3673578269538E-23,4.85282996680893E-21,0.000136818598566516,2.11758236813575E-21,0.000136818598566517,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,-0.028286,0.058405,-1.8458,0,-3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136877305,-0.0185153363770946,0.00606146490620672,0,0,0,0.197009126147877,1.68802738687172E-05,2.03377162002092E-19,-1.62743895450457E-19,5.02184885667569E-05,1.0508875929185E-06,4.72447473350486E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBS.STL,,suspensioncastle-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.30216,-0.18919,-0.0088855,-0.30763,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.00212675678752455,-0.00813942181370025,8.32667268468867E-17,0,0,0,0.0337925918529465,9.90778459294071E-06,1.27793980168018E-06,9.26442286059391E-22,2.88462343109061E-06,-2.60439166600042E-21,1.17553584577796E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBC.STL,,CastleCatcher-2,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.015068,-0.0047875,1.2633,0.010191,-3.1095,LBS,0,1,0,,,,,,,,,,,,
LBW,0.0176502966215443,0.00670416394411996,-0.00607674202774335,0,0,0,0.193585420779862,0.000253081141332254,-1.75971094792081E-19,8.40680200149893E-20,0.000136818598566517,-4.06575814682064E-20,0.000136818598566517,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBW.STL,,wheel-3,Origin_LBW,Axis_LBW,LBW,continuous,0.010784,-0.016873,0,-2.4052,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0754022136877307,-0.00953574862501527,-0.0222014198592471,0,0,0,0.197009126147877,1.68802738687173E-05,-8.62079149672795E-20,-8.64915829020865E-21,5.0218488566757E-05,1.0508875929185E-06,4.72447473350487E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBS.STL,,suspensioncastle-1,Origin_RBS,Axis_RBS,RBS,prismatic,0.10216,-0.18919,-0.015774,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.0021268,-0.0012511,0,0,0,0,0.033793,9.9078E-06,1.2779E-06,-5.4263E-22,2.8846E-06,-2.3326E-21,1.1755E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBC.STL,,CastleCatcher-1,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.015068,-0.0047875,-1.8784,-0.003856,3.1295,RBS,0,1,0,,,,,,,,,,,,
RBW,0.017679,-9.089E-05,-0.0021581,0,0,0,0.19359,0.00025308,9.8997E-20,8.8197E-19,0.00013682,4.2352E-22,0.00013682,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBW.STL,,wheel-1,Origin_RBW,Axis_RBW,RBW,continuous,0.010755,-0.016873,0,-1.5287,0,0,RBC,1,0,0,3.1,7,,,,,,,,,,
Lidar,-0.078493,0.74443,0.13345,0,0,0,0.073085,1.9581E-05,-4.2839E-07,1.0393E-07,4.1418E-05,-9.4273E-09,2.4125E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,-0.23716,0.016589,-0.56869,1.5708,0,1.5973,base_link,0,0,0,,,,,,,,,,,,
